date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:32	62/62	---M--	200	added ('OK')	text/plain	etag:%2267c8dc5a-3e%22	https://mohamedbanane.com/robots.txt		(from )
10:10:32	74998/74998	---M-Z	200	added ('OK')	text/html	etag:W/%2267c8dc5a-124f6%22	https://mohamedbanane.com/	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/index.html	(from )
10:10:33	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Mes%20Sites%20Web/Portefolio/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://mohamedbanane.com/)
10:10:33	46703/46703	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-b66f%22	https://mohamedbanane.com/portfolio/icon-portfolio.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/icon-portfolio.png	(from https://mohamedbanane.com/)
10:10:33	3062/3062	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-bf6%22	https://mohamedbanane.com/icofont/icofont.min.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/icofont/icofont.min.css	(from https://mohamedbanane.com/)
10:10:33	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-705d%22	https://mohamedbanane.com/assets/vendor/aos/aos.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/aos/aos.css	(from https://mohamedbanane.com/)
10:10:33	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-38dd2%22	https://mohamedbanane.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://mohamedbanane.com/)
10:10:34	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-16e26%22	https://mohamedbanane.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://mohamedbanane.com/)
10:10:34	68028/68028	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-109bc%22	https://mohamedbanane.com/assets/vendor/boxicons/css/boxicons.min.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://mohamedbanane.com/)
10:10:34	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-35b5%22	https://mohamedbanane.com/assets/vendor/glightbox/css/glightbox.min.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://mohamedbanane.com/)
10:10:34	16238/16238	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-3f6e%22	https://mohamedbanane.com/assets/vendor/swiper/swiper-bundle.min.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://mohamedbanane.com/)
10:10:34	29957/29957	---M-Z	200	added ('OK')	text/css	etag:W/%2267c8dc5a-7505%22	https://mohamedbanane.com/portfolio/css/portfolio.css	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/css/portfolio.css	(from https://mohamedbanane.com/)
10:10:35	5232/5232	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-1470%22	https://mohamedbanane.com/portfolio/js/main.js	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/js/main.js	(from https://mohamedbanane.com/)
10:10:35	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%2264982dfd-7422%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Mes%20Sites%20Web/Portefolio/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://mohamedbanane.com/)
10:10:35	165/165	---M--	200	added ('OK')	application/javascript	etag:%2267c8dc5a-a5%22	https://mohamedbanane.com/portfolio/js/flip-box.js	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/js/flip-box.js	(from https://mohamedbanane.com/)
10:10:35	2822/2822	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-b06%22	https://mohamedbanane.com/particles.js-master/app.js	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/particles.js-master/app.js	(from https://mohamedbanane.com/)
10:10:36	693/693	---M-Z	200	added ('OK')	application/json	etag:W/%2267c8dc5a-2b5%22	https://mohamedbanane.com/particles.js-master/package.json	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/particles.js-master/package.json	(from https://mohamedbanane.com/)
10:10:36	43009/43009	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-a801%22	https://mohamedbanane.com/particles.js-master/particles.js	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/particles.js-master/particles.js	(from https://mohamedbanane.com/)
10:10:36	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c8dc5a-5b44%22	https://mohamedbanane.com/particles.js-master/particles.min.js	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/particles.js-master/particles.min.js	(from https://mohamedbanane.com/)
